edition,source,column_year,jurisdiction,side,instrument,value_usd_bn,unit_published,note
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Latin America and the Caribbean,long,total,23.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Latin America and the Caribbean,long,equities,3.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Latin America and the Caribbean,long,master_funds,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Latin America and the Caribbean,long,st_debt,1.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Latin America and the Caribbean,long,lt_debt,19.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Africa and the Middle East,long,total,11.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Africa and the Middle East,long,equities,5.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Africa and the Middle East,long,master_funds,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Africa and the Middle East,long,st_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Africa and the Middle East,long,lt_debt,6.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Asia and the Pacific,long,total,20.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Asia and the Pacific,long,equities,8.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Asia and the Pacific,long,master_funds,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Asia and the Pacific,long,st_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Developing Asia and the Pacific,long,lt_debt,12.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Total,long,total,2635.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Total,long,equities,606.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Total,long,master_funds,1070.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Total,long,st_debt,134.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Total,long,lt_debt,825.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,United States,short,total,-26.83,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,United States,short,equities,-11.72,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,United States,short,st_debt,-13.95,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,United States,short,lt_debt,-1.16,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Cayman Islands,short,total,-0.04,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Cayman Islands,short,equities,-0.02,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Cayman Islands,short,st_debt,-0.02,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Cayman Islands,short,lt_debt,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,United Kingdom,short,total,-7.27,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,United Kingdom,short,equities,-0.03,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,United Kingdom,short,st_debt,-4.59,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,United Kingdom,short,lt_debt,-2.65,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Japan,short,total,-2.39,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Japan,short,equities,-0.87,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.11 Fig.9B,2015,Japan,short,st_debt,-0.07,US$ bn,
